Buying ,main,doors,persons,bot,safe,class
5,4,2,2,1,1,unacc
5,4,2,2,1,2,unacc
5,4,2,2,1,3,unacc
5,4,2,2,2,1,unacc
5,4,2,2,2,2,unacc
5,4,2,2,2,3,unacc
5,4,2,2,3,1,unacc
5,4,2,2,3,2,unacc
5,4,2,2,3,3,unacc
5,4,2,4,1,1,unacc
0,4,2,4,1,2,unacc
5,4,2,4,1,3,unacc
5,4,2,4,2,1,unacc
5,4,2,4,2,2,unacc
5,4,2,4,2,3,unacc
5,4,2,4,3,1,unacc
5,4,2,4,3,2,unacc
5,4,2,4,3,3,unacc
5,4,2,3,1,1,unacc
5,4,2,3,1,2,unacc
5,4,2,3,1,3,unacc
5,4,2,3,2,1,unacc
5,4,2,3,2,2,unacc
5,4,2,3,2,3,unacc
5,4,2,3,3,1,unacc
5,4,2,3,3,2,unacc
5,4,2,3,3,3,unacc
5,4,3,2,1,1,unacc
5,4,3,2,1,2,unacc
5,4,3,2,1,3,unacc
5,4,3,2,2,1,unacc
5,4,3,2,2,2,unacc
5,4,3,2,2,3,unacc
5,4,3,2,3,1,unacc
5,4,3,2,3,2,unacc
5,4,3,2,3,3,unacc
5,4,3,4,1,1,unacc
5,4,3,4,1,2,unacc
5,4,3,4,1,3,unacc
5,4,3,4,2,1,unacc
5,4,3,4,2,2,unacc
5,4,3,4,2,3,unacc
5,4,3,4,3,1,unacc
5,4,3,4,3,2,unacc
5,4,3,4,3,3,unacc
5,4,3,3,1,1,unacc
5,4,3,3,1,2,unacc
5,4,3,3,1,3,unacc
5,4,3,3,2,1,unacc
5,4,3,3,2,2,unacc
5,4,3,3,2,3,unacc
5,4,3,3,3,1,unacc
5,4,3,3,3,2,unacc
5,4,3,3,3,3,unacc
5,4,4,2,1,1,unacc
5,4,4,2,1,2,unacc
5,4,4,2,1,3,unacc
5,4,4,2,2,1,unacc
5,4,4,2,2,2,unacc
5,4,4,2,2,3,unacc
5,4,4,2,3,1,unacc
5,4,4,2,3,2,unacc
5,4,4,2,3,3,unacc
5,4,4,4,1,1,unacc
5,4,4,4,1,2,unacc
5,4,4,4,1,3,unacc
5,4,4,4,2,1,unacc
5,4,4,4,2,2,unacc
5,4,4,4,2,3,unacc
5,4,4,4,3,1,unacc
5,4,4,4,3,2,unacc
5,4,4,4,3,3,unacc
5,4,4,3,1,1,unacc
5,4,4,3,1,2,unacc
5,4,4,3,1,3,unacc
5,4,4,3,2,1,unacc
5,4,4,3,2,2,unacc
5,4,4,3,2,3,unacc
5,4,4,3,3,1,unacc
5,4,4,3,3,2,unacc
5,4,4,3,3,3,unacc
5,4,6,2,1,1,unacc
5,4,6,2,1,2,unacc
5,4,6,2,1,3,unacc
5,4,6,2,2,1,unacc
5,4,6,2,2,2,unacc
5,4,6,2,2,3,unacc
5,4,6,2,3,1,unacc
5,4,6,2,3,2,unacc
5,4,6,2,3,3,unacc
5,4,6,4,1,1,unacc
5,4,6,4,1,2,unacc
5,4,6,4,1,3,unacc
5,4,6,4,2,1,unacc
5,4,6,4,2,2,unacc
5,4,6,4,2,3,unacc
5,4,6,4,3,1,unacc
5,4,6,4,3,2,unacc
5,4,6,4,3,3,unacc
5,4,6,3,1,1,unacc
5,4,6,3,1,2,unacc
5,4,6,3,1,3,unacc
5,4,6,3,2,1,unacc
